Accession,Planting,Country,State,County,Google_Latitude,Google_Longitude,PosNum,LCMSplantingID,Ozark_Chinquapin,ID,num_traits,Date,num_values,Surv,Notes,sEmergeDate,lEmergeDate
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafL,2024-07-12,10,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafL,2024-08-15,10,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafL,2024-09-17,11,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafN,2024-05-03,4,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafN,2024-06-13,6,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafN,2024-07-12,6,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafN,2024-08-15,16,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafN,2024-09-17,24,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafW,2024-05-03,3,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafW,2024-06-13,4.2,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafW,2024-07-12,4.5,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafW,2024-08-15,4.4,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,leafW,2024-09-17,4.8,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,stLeng,2024-05-03,9.3,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,stLeng,2024-06-13,10.8,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,stLeng,2024-07-12,10.9,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,stLeng,2024-08-15,12.1,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,stLeng,2024-09-17,11,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,stNum,2024-05-03,1,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,stNum,2024-06-13,1,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,stNum,2024-07-12,1,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,stNum,2024-08-15,2,Y,NA,2024-03-25,2024-04-15
2024-0246,14,United States,Arkansas,Benton,34.57234647,-92.57485385,119,2024-0246-14,TRUE,27 - 14,stNum,2024-09-17,1,Y,NA,2024-03-25,2024-04-15
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,basDia,2024-05-03,2.65,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,basDia,2024-06-13,3.46,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,basDia,2024-07-12,2.91,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,basDia,2024-08-15,3.67,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,basDia,2024-09-17,4.22,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafL,2024-05-03,11.7,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafL,2024-06-13,11.5,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafL,2024-07-12,11.4,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafL,2024-08-15,11.6,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafL,2024-09-17,11.6,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafN,2024-05-03,7,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafN,2024-06-13,7,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafN,2024-07-12,8,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafN,2024-08-15,7,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafN,2024-09-17,8,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafW,2024-05-03,6.3,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafW,2024-06-13,5.6,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafW,2024-07-12,6,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafW,2024-08-15,6,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,leafW,2024-09-17,5.9,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,stLeng,2024-05-03,11.8,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,stLeng,2024-06-13,12.2,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,stLeng,2024-07-12,12,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,stLeng,2024-08-15,13.3,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,stLeng,2024-09-17,12.6,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,stNum,2024-05-03,1,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,stNum,2024-06-13,1,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,stNum,2024-07-12,1,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,stNum,2024-08-15,1,Y,NA,2024-03-18,2024-03-18
2024-0257,2,United States,Missouri,Barry,36.71275301,-93.84828622,120,2024-0257-2,TRUE,42 - 2,stNum,2024-09-17,1,Y,NA,2024-03-18,2024-03-18
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,basDia,2024-05-03,1.35,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,basDia,2024-06-13,2.3,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,basDia,2024-07-12,2.01,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,basDia,2024-08-15,2.55,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,basDia,2024-09-17,4.15,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafL,2024-05-03,5.7,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafL,2024-06-13,6.6,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafL,2024-07-12,6.9,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafL,2024-08-15,6.7,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafL,2024-09-17,7.9,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafN,2024-05-03,5,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafN,2024-06-13,7,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafN,2024-07-12,6,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafN,2024-08-15,7,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafN,2024-09-17,15,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafW,2024-05-03,3.4,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafW,2024-06-13,2.6,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafW,2024-07-12,2.9,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafW,2024-08-15,3,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,leafW,2024-09-17,3.7,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,stLeng,2024-05-03,6.5,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,stLeng,2024-06-13,7.8,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,stLeng,2024-07-12,8,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,stLeng,2024-08-15,8.6,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,stLeng,2024-09-17,8.3,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,stNum,2024-05-03,1,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,stNum,2024-06-13,1,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,stNum,2024-07-12,1,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,stNum,2024-08-15,1,Y,NA,2024-03-18,2024-04-01
2024-0253,2,United States,Missouri,Barry,36.71275301,-93.84828622,121,2024-0253-2,TRUE,36 - 2,stNum,2024-09-17,1,Y,NA,2024-03-18,2024-04-01
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,basDia,2024-05-03,NA,NA,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,basDia,2024-06-13,1.09,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,basDia,2024-07-12,0.96,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,basDia,2024-08-15,2.25,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,basDia,2024-09-17,3.2,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafL,2024-05-03,NA,NA,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafL,2024-06-13,0.8,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafL,2024-07-12,6,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafL,2024-08-15,8.7,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafL,2024-09-17,9.4,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafN,2024-05-03,NA,NA,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafN,2024-06-13,3,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafN,2024-07-12,8,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafN,2024-08-15,7,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafN,2024-09-17,12,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafW,2024-05-03,NA,NA,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafW,2024-06-13,0.1,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafW,2024-07-12,3.1,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafW,2024-08-15,3.9,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,leafW,2024-09-17,3.3,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,stLeng,2024-05-03,NA,NA,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,stLeng,2024-06-13,2.1,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,stLeng,2024-07-12,5.6,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,stLeng,2024-08-15,8.2,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,stLeng,2024-09-17,10.2,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,stNum,2024-05-03,NA,NA,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,stNum,2024-06-13,1,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,stNum,2024-07-12,1,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,stNum,2024-08-15,1,Y,NA,NA,2024-06-03
2024-0227,6,United States,Mississippi,Montgomery,33.51280512,-89.63498848,124,2024-0227-6,TRUE,3 - 6,stNum,2024-09-17,1,Y,NA,NA,2024-06-03
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,basDia,2024-05-03,1.92,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,basDia,2024-06-13,2.87,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,basDia,2024-07-12,2.89,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,basDia,2024-08-15,3.81,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,basDia,2024-09-17,4.69,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafL,2024-05-03,8.9,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafL,2024-06-13,10.3,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafL,2024-07-12,10.3,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafL,2024-08-15,10.1,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafL,2024-09-17,9.7,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafN,2024-05-03,8,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafN,2024-06-13,8,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafN,2024-07-12,7,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafN,2024-08-15,8,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafN,2024-09-17,7,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafW,2024-05-03,5.2,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafW,2024-06-13,3.6,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafW,2024-07-12,3.5,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafW,2024-08-15,3.5,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,leafW,2024-09-17,3.8,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,stLeng,2024-05-03,10.8,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,stLeng,2024-06-13,15.1,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,stLeng,2024-07-12,14.4,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,stLeng,2024-08-15,14.9,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,stLeng,2024-09-17,15.5,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,stNum,2024-05-03,1,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,stNum,2024-06-13,1,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,stNum,2024-07-12,1,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,stNum,2024-08-15,1,Y,NA,2024-03-18,2024-04-08
2024-0246,25,United States,Arkansas,Benton,34.57234647,-92.57485385,125,2024-0246-25,TRUE,27 - 25,stNum,2024-09-17,1,Y,NA,2024-03-18,2024-04-08
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,basDia,2024-05-03,1.79,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,basDia,2024-06-13,2.96,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,basDia,2024-07-12,2.74,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,basDia,2024-08-15,3.65,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,basDia,2024-09-17,5.14,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,leafL,2024-05-03,2.9,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,leafL,2024-06-13,7.8,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,leafL,2024-07-12,7.7,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,leafL,2024-08-15,7.6,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,leafL,2024-09-17,7.9,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,leafN,2024-05-03,7,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,leafN,2024-06-13,14,Y,NA,2024-03-25,2024-04-22
2024-0276,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,127,2024-0276-12,TRUE,107 - 12,leafN,2024-07-12,14,Y,NA,2024-03-25,2024-04-22
