PosNum,LCMSplantingID,Accession,Planting,Ozark_Chinquapin,ID,Date.1,sEmerge.1,lEmerge.1,Surv.1,basDia.1,stNum.1,stLeng.1,leafL.1,leafW.1,leafN.1,L.stg.1.1,L.stg.2.1,L.stg.3.1,L.stg.4.1,Notes.1,Date.2,sEmerge.2,lEmerge.2,Surv.2,stNum.2,stLeng.2,basDia.2,leafN.2,leafL.2,leafW.2,Notes.2,Date.3,sEmerge.3,lEmerge.3,sEmergeDate,lEmergeDate,Surv.3,stNum.3,stLeng.3,basDia.3,leafN.3,leafL.3,leafW.3,Notes.3,Date.4,Surv.4,stNum.4,stLeng.4,basDia.4,leafN.4,leafL.4,leafW.4,Notes.4,Date.5,Surv.5,stNum.5,stLeng.5,basDia.5,leafN.5,leafL.5,leafW.5,Notes.5
65,2024-0237-8,2024-0237,8,T,13 - 8,5/3/24,Y,N,Y,1.89,1,0.5,NA,NA,0,Y,N,N,N,Apical meristem dead. Growing lateral reprout,6/13/24,Y,N,Y,1,4.1,2.15,0,NA,NA,,7/12/24,Y,N,3/18/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
66,2024-0242-9,2024-0242,9,T,22 - 9,5/3/24,Y,Y,Y,2.23,1,12.7,9.6,4.4,10,Y,Y,N,Y,,6/13/24,Y,Y,Y,1,12.4,3.2,11,8.9,3.7,,7/12/24,Y,Y,3/5/24,3/11/24,Y,1,14,2.57,10,9,4,,8/15/24,Y,1,14.2,3.46,11,7.5,3.9,,9/17/24,Y,2,13,3.51,13,8.6,4.1,
67,2024-0246-15,2024-0246,15,T,27 - 15,5/3/24,Y,Y,Y,2,1,8.8,8.4,5.2,5,Y,Y,Y,Y,,6/13/24,Y,Y,Y,1,11,3.67,8,9,5.5,,7/12/24,Y,Y,3/18/24,4/15/24,Y,1,11.5,3.35,7,10,5,,8/15/24,Y,1,11.9,4.28,8,10.1,5.6,,9/17/24,Y,1,10.9,4.97,10,10.2,6,
68,2024-0249-14,2024-0249,14,T,30 - 14,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
69,2024-0225-18,2024-0225,18,T,1 - 18,5/3/24,Y,N,Y,2.63,1,4.8,1.8,0.9,2,Y,Y,N,N,,6/13/24,Y,N,Y,1,9.5,2.79,8,3,1.5,,7/12/24,Y,Y,3/25/24,4/29/24,Y,1,9.5,3.19,12,6,2.5,,8/15/24,Y,2,9.4,2.94,14,5.5,2.7,,9/17/24,Y,2,11.8,4.2,22,7.6,4,
70,2024-0225-12,2024-0225,12,T,1 - 12,5/3/24,Y,Y,Y,2.34,1,11.8,6.2,4.5,7,Y,Y,N,Y,,6/13/24,Y,Y,Y,1,13.5,3.24,12,11.5,5.5,,7/12/24,Y,Y,4/8/24,4/15/24,Y,1,13.5,2.43,12,11,5.5,,8/15/24,Y,1,13.7,3.84,12,11.2,5.6,,9/17/24,Y,1,13.3,4.93,13,11.1,5.8,
71,2024-0275-7,2024-0275,7,F,105 - 7,5/3/24,N,Y,Y,1.79,2,16.1,9.6,5.5,7,Y,Y,Y,Y,,6/13/24,N,Y,Y,1,26,4.82,12,10,4,,7/12/24,N,Y,-,4/8/24,Y,1,28,2.96,13,10,4.5,,8/15/24,Y,1,28.7,3.11,13,10,4.4,Leaves with no color,9/17/24,N,NA,NA,NA,NA,NA,NA,"""Died"" recently. All leaves dead and attached. Could resprout. "
72,2024-0274-18,2024-0274,18,T,103 - 18,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
73,2024-0239-1,2024-0239,1,T,17 - 1,5/3/24,Y,N,Y,1.31,1,1.1,NA,NA,0,N,N,N,N,,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,2/28/24,,N ,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
74,2024-0256-16,2024-0256,16,T,41 - 16,5/3/24,Y,Y,Y,1.11,2,7.2,4.4,2.3,9,Y,Y,N,N,,6/13/24,Y,Y,Y,1,8.5,4.09,9,9,3.5,,7/12/24,Y,Y,3/11/24,4/22/24,Y,1,10,2.16,9,9.5,4,,8/15/24,Y,1,9.9,2.96,9,9.1,3.9,,9/17/24,Y,1,9.4,5.37,17,9.1,4.6,
75,2024-0266-6,2024-0266,6,T,76 - 6,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
76,2024-0226-12,2024-0226,12,T,2 - 12,5/3/24,N,Y,Y,1.06,1,4.2,4.1,2.1,8,Y,Y,Y,N,,6/13/24,N,Y,Y,1,7,2.33,10,8,3.5,,7/12/24,N,Y,-,3/18/24,Y,1,8.5,2.06,10,8.5,4,,8/15/24,Y,1,9.4,3.34,20,8.5,3.7,,9/17/24,Y,1,13.1,4.43,31,11.3,4.2,
77,2024-0228-11,2024-0228,11,F,4 - 11,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
78,2024-0231-9,2024-0231,9,T,7 - 9,5/3/24,Y,N,Y,1.68,1,9.1,7.5,3.9,6,Y,Y,N,N,,6/13/24,Y,N,Y,1,9,2.47,6,7,3.5,,7/12/24,Y,N,3/18/24,,Y,1,9.5,1.88,6,7.5,4,,8/15/24,Y,1,9.4,2.5,6,7.5,3.4,,9/17/24,Y,1,9.5,3.84,11,11.4,4.8,
79,2024-0243-1,2024-0243,1,T,23 - 1,5/3/24,Y,N,Y,NA,1,0.3,NA,NA,0,Y,N,N,N,Too small to measure basal diameter. Very nearly dead.,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,2/20/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
80,2024-0244-17,2024-0244,17,T,24 - 17,5/3/24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,-,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
81,2024-0241-10,2024-0241,10,T,19 - 10,5/3/24,Y,Y,Y,2.39,1,10.1,2.7,1.6,4,Y,Y,Y,Y,May make new stem,6/13/24,Y,Y,Y,1,13,2.69,13,4.5,2,,7/12/24,Y,Y,3/18/24,4/8/24,Y,1,13,2.59,13,5,2,,8/15/24,Y,1,13.1,3.44,13,4.8,2,,9/17/24,Y,1,12.9,3.62,13,5.2,2.2,
82,2024-0244-2,2024-0244,2,T,24 - 2,5/3/24,N,Y,Y,1.57,1,9.2,8.7,4.6,8,Y,Y,N,N,,6/13/24,N,Y,Y,1,10.7,2.37,10,8.7,4.4,,7/12/24,N,Y,-,3/5/24,Y,1,12.5,2.49,8,9,4.5,,8/15/24,Y,1,12.8,2.58,9,8.7,4.6,,9/17/24,Y,1,10.9,3.21,3,8.1,3.6,
83,2024-0264-3,2024-0264,3,T,61 - 3,5/3/24,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,4/1/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N ,NA,NA,NA,NA,NA,NA,
84,2024-0246-4,2024-0246,4,T,27 - 4,5/3/24,Y,Y,Y,1.61,1,6.2,4,1.8,5,Y,Y,N,N,,6/13/24,Y,Y,Y,1,9.8,2.16,9,12.1,5,,7/12/24,Y,Y,3/18/24,4/15/24,Y,1,10,2.38,9,12,5,,8/15/24,Y,1,9.9,3.27,9,11.4,5.1,,9/17/24,Y,1,10.1,3.69,9,12.4,5.1,
85,2024-0274-9,2024-0274,9,T,103 - 9,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
86,2024-0226-3,2024-0226,3,T,2 - 3,5/3/24,N,Y,Y,1.14,1,5.4,5.1,2.2,5,Y,N,Y,N,,6/13/24,N,Y,Y,1,8,2.08,7,6,2.8,,7/12/24,N,Y,-,3/18/24,Y,2,8.5,1.98,9,6,3,,8/15/24,Y,1,9.8,1.97,14,6.8,2.5,,9/17/24,Y,1,14.2,3.58,18,12.8,4.9,
87,2024-0225-7,2024-0225,7,T,1 - 7,5/3/24,Y,Y,Y,1.81,1,5.3,1.2,0.5,2,Y,Y,N,N,,6/13/24,Y,Y,Y,1,5.1,2.17,0,NA,NA,,7/12/24,Y,Y,3/5/24,4/15/24,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
88,2024-0231-4,2024-0231,4,T,7 - 4,5/3/24,Y,Y,Y,1.3,1,8.4,2.9,1.7,8,Y,N,Y,Y,,6/13/24,Y,Y,Y,1,11.2,1.96,12,5.7,2.8,,7/12/24,Y,Y,3/18/24,4/8/24,Y,1,12,1.88,12,5.5,3,,8/15/24,Y,1,12.4,2.79,14,5.6,2.9,,9/17/24,Y,1,12,3.29,27,9.3,4.6,
89,2024-0231-8,2024-0231,8,T,7 - 8,5/3/24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
90,2024-0250-8,2024-0250,8,T,31 - 8,5/3/24,Y,Y,Y,1.97,1,8,3.3,1.8,6,Y,Y,N,N,,6/13/24,Y,Y,Y,1,9.2,2.47,8,6.3,3.2,,7/12/24,Y,Y,3/11/24,4/15/24,Y,1,10,1.95,9,6.5,3.5,,8/15/24,Y,1,10.2,2.55,9,6.6,3.7,,9/17/24,Y,1,9.6,3.08,14,7.1,3.4,Several leaves yellowing. 
91,2024-0242-18,2024-0242,18,T,22 - 18,5/3/24,Y,Y,Y,1.65,1,8.1,3.1,6.3,9,Y,Y,Y,N,,6/13/24,Y,Y,Y,1,10.2,2.95,12,8.9,4.2,,7/12/24,Y,Y,3/5/24,3/18/24,Y,1,10,2.32,12,9,4,,8/15/24,Y,1,9.9,2.71,13,8.9,4.3,,9/17/24,Y,1,8.7,2.95,14,9.7,4.4,Several leaves yellowing. 
92,2024-0268-2,2024-0268,2,F,81 - 2,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
93,2024-0228-6,2024-0228,6,F,4 - 6,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
94,2024-0234-11,2024-0234,11,T,10 - 11,5/3/24,Y,Y,Y,2.77,1,13.1,5.1,2.8,8,Y,Y,N,N,,6/13/24,Y,Y,Y,1,13.6,4.42,9,9.5,3.6,,7/12/24,Y,Y,3/11/24,4/8/24,Y,1,14.5,2.3,8,9,3,,8/15/24,Y,1,13.9,2.48,9,8.5,3,,9/17/24,Y,1,13.5,6.44,14,9.3,3.3,Some curled leaves. 
95,2024-0276-8,2024-0276,8,T,107 - 8,5/3/24,Y,Y,Y,1.82,1,7.4,5.3,2.4,8,Y,Y,Y,Y,,6/13/24,Y,Y,Y,1,11.1,2.54,14,11.8,5.2,,7/12/24,Y,Y,4/1/24,4/22/24,Y,1,11.5,2.58,14,12,6,,8/15/24,Y,1,12.4,3.04,13,11.3,5.9,,9/17/24,Y,1,11.6,4.43,18,11.4,5.7,
96,2024-0245-8,2024-0245,8,T,25 - 8,5/3/24,N,Y,Y,1.06,2,6.9,5.3,2.8,7,Y,Y,N,N,,6/13/24,N,Y,Y,1,10.6,1.8,11,8.9,3.8,,7/12/24,N,Y,-,4/15/24,Y,1,11.5,1.61,11,9,4,,8/15/24,Y,1,11.9,2.03,10,9,3.9,,9/17/24,Y,3,11.5,2.63,12,8.8,4.1,One stem dead. 
97,2024-0253-8,2024-0253,8,T,36 - 8,5/3/24,Y,Y,Y,1.66,1,11.4,8.1,4.5,7,Y,Y,Y,Y,,6/13/24,Y,Y,Y,1,13.2,3.1,10,12.4,5.6,,7/12/24,Y,Y,3/11/24,4/8/24,Y,1,13.5,2.38,10,12.5,5.5,,8/15/24,Y,1,13.5,3.53,10,12,5.1,,9/17/24,Y,2,13.6,4.29,14,12,5.5,
98,2024-0259-9,2024-0259,9,F,45 - 9,5/3/24,N,N,Y,0.8,3,3.2,1.3,0.4,3,Y,Y,Y,Y,,6/13/24,N,N,Y,2,6.5,1.72,13,7.2,3,,7/12/24,N,Y,-,5/6/24,Y,1,6,1.27,13,8,2.5,,8/15/24,Y,2,6.3,1.69,12,7.2,2.7,,9/17/24,Y,2,7.7,3.17,22,7.6,3.1,
99,2024-0248-3,2024-0248,3,T,29 - 3,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
100,2024-0253-15,2024-0253,15,T,36 - 15,5/3/24,Y,N,Y,1.33,1,6.4,6.2,2.9,8,Y,Y,Y,N,,6/13/24,Y,N,Y,1,6.7,2.56,10,7.1,3.4,,7/12/24,Y,N,2/28/24,,Y,1,7.5,1.96,10,7,3,,8/15/24,Y,1,7.6,2.89,9,6.2,3.4,,9/17/24,Y,1,7.2,3.29,15,7.6,3.9,
101,2024-0225-15,2024-0225,15,T,1 - 15,5/3/24,Y,N,Y,0.96,2,0.5,NA,NA,0,Y,N,N,N,,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,4/8/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N ,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
102,2024-0260-7,2024-0260,7,T,48 - 7,5/3/24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,-,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N ,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
103,2024-0233-3,2024-0233,3,F,9 - 3,5/3/24,Y,N,Y,NA,1,0.3,NA,NA,0,Y,N,N,N,Too small to measure basal diameter.,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,4/15/24,,Y,1,2.3,0.3,1,DNR,DNR,,8/15/24,Y,1,4.6,1.21,6,5.3,1.9,,9/17/24,Y,1,8.2,2.67,10,13,5.3,
104,2024-0274-10,2024-0274,10,T,103 - 10,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
105,2024-0228-1,2024-0228,1,F,4 - 1,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
106,2024-0243-6,2024-0243,6,T,23 - 6,5/3/24,Y,Y,Y,1.96,1,11.4,9.8,4.9,6,Y,Y,N,N,,6/13/24,Y,Y,Y,1,12,3.2,6,10.1,4.7,,7/12/24,Y,Y,3/5/24,3/25/24,Y,1,12.2,2.32,6,10.3,4.9,,8/15/24,Y,1,11.9,3.64,6,9.9,4.8,,9/17/24,Y,2,11.5,3.87,11,9.6,5,
107,2024-0250-2,2024-0250,2,T,31 - 2,5/3/24,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No living/ growing tissue observed.,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,3/18/24,,N ,NA,NA,NA,NA,NA,NA,,8/15/24,N ,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
108,2024-0276-22,2024-0276,22,T,107 - 22,5/3/24,Y,N,Y,1.62,1,1.1,NA,NA,0,Y,N,N,N,,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,4/1/24,,N ,NA,NA,NA,NA,NA,NA,,8/15/24,N ,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
109,2024-0254-7,2024-0254,7,F,38 - 7,5/3/24,N,Y,Y,1.29,1,7.4,3.7,7.8,9,Y,Y,Y,N,,6/13/24,N,Y,Y,1,8,2.4,11,8.4,3.5,,7/12/24,N,Y,-,3/11/24,Y,1,8.2,1.98,11,9.2,4.1,,8/15/24,Y,1,8.3,2.44,9,9.5,4,,9/17/24,Y,1,8.2,2.7,9,9.6,4,
110,2024-0266-16,2024-0266,16,T,76 - 16,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
111,2024-0241-2,2024-0241,2,T,19 - 2,5/3/24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No green tissue.,6/13/24,N,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,-,,N ,NA,NA,NA,NA,NA,NA,,8/15/24,N ,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
112,2024-0266-12,2024-0266,12,T,76 - 12,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
113,2024-0258-2,2024-0258,2,T,44 - 2,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
114,2024-0266-13,2024-0266,13,T,76 - 13,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
115,2024-0250-9,2024-0250,9,T,31 - 9,5/3/24,Y,Y,Y,1.96,1,9.3,7.1,3.1,2,Y,Y,N,Y,,6/13/24,Y,Y,Y,1,10,2.88,4,7.5,3.4,,7/12/24,Y,Y,3/11/24,4/22/24,Y,1,10,2.75,4,7.2,3.5,,8/15/24,Y,2,10.7,3.54,8,6.7,3.5,,9/17/24,Y,2,13,3.67,9,8.2,4.4,
116,2024-0248-2,2024-0248,2,T,29 - 2,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
117,2024-0252-2,2024-0252,2,T,35 - 2,5/3/24,Y,Y,Y,2.24,1,0.4,NA,NA,0,N,N,N,N,No meristem tissue.,6/13/24,Y,Y,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,Y,3/5/24,4/8/24,N ,NA,NA,NA,NA,NA,NA,,8/15/24,N ,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
118,2024-0275-12,2024-0275,12,F,105 - 12,5/3/24,N,N,Y,1.87,1,13.5,9.1,3.6,8,Y,Y,N,N,,6/13/24,N,N,Y,1,14.1,3.66,10,8.8,4,,7/12/24,N,N,-,,Y,1,14.5,2.63,12,9,3.7,,8/15/24,Y,1,15.5,3.79,13,8.8,3.6,,9/17/24,Y,1,14.9,3.63,14,8.8,4.2,Some leaves yellowing. 
119,2024-0246-14,2024-0246,14,T,27 - 14,5/3/24,Y,Y,Y,1.41,1,9.3,6.8,3,4,Y,Y,N,N,,6/13/24,Y,Y,Y,1,10.8,2.63,6,10.3,4.2,,7/12/24,Y,Y,3/25/24,4/15/24,Y,1,10.9,2.61,6,10,4.5,,8/15/24,Y,2,12.1,3.39,16,10,4.4,,9/17/24,Y,1,11,3.86,24,11,4.8,
120,2024-0257-2,2024-0257,2,T,42 - 2,5/3/24,Y,Y,Y,2.65,1,11.8,11.7,6.3,7,Y,N,Y,N,,6/13/24,Y,Y,Y,1,12.2,3.46,7,11.5,5.6,,7/12/24,Y,Y,3/18/24,3/18/24,Y,1,12,2.91,8,11.4,6,,8/15/24,Y,1,13.3,3.67,7,11.6,6,,9/17/24,Y,1,12.6,4.22,8,11.6,5.9,
121,2024-0253-2,2024-0253,2,T,36 - 2,5/3/24,Y,Y,Y,1.35,1,6.5,5.7,3.4,5,Y,N,Y,Y,,6/13/24,Y,Y,Y,1,7.8,2.3,7,6.6,2.6,,7/12/24,Y,Y,3/18/24,4/1/24,Y,1,8,2.01,6,6.9,2.9,,8/15/24,Y,1,8.6,2.55,7,6.7,3,,9/17/24,Y,1,8.3,4.15,15,7.9,3.7,
122,2024-0277-6,2024-0277,6,T,108 - 6,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
123,2024-0228-3,2024-0228,3,F,4 - 3,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
124,2024-0227-6,2024-0227,6,T,3 - 6,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,Y,1,2.1,1.09,3,0.8,0.1,,7/12/24,N,Y,-,6/3/24,Y,1,5.6,0.96,8,6,3.1,,8/15/24,Y,1,8.2,2.25,7,8.7,3.9,,9/17/24,Y,1,10.2,3.2,12,9.4,3.3,
125,2024-0246-25,2024-0246,25,T,27 - 25,5/3/24,Y,Y,Y,1.92,1,10.8,8.9,5.2,8,Y,Y,N,N,,6/13/24,Y,Y,Y,1,15.1,2.87,8,10.3,3.6,,7/12/24,Y,Y,3/18/24,4/8/24,Y,1,14.4,2.89,7,10.3,3.5,,8/15/24,Y,1,14.9,3.81,8,10.1,3.5,,9/17/24,Y,1,15.5,4.69,7,9.7,3.8,
126,2024-0246-23,2024-0246,23,T,27 - 23,5/3/24,Y,N,Y,1.23,2,1.4,NA,NA,0,Y,N,N,N,,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,3/25/24,,N ,NA,NA,NA,NA,NA,NA,,8/15/24,N ,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
127,2024-0276-12,2024-0276,12,T,107 - 12,5/3/24,Y,Y,Y,1.79,1,6.8,2.9,1.7,7,Y,Y,Y,Y,,6/13/24,Y,Y,Y,1,9.3,2.96,14,7.8,4.1,,7/12/24,Y,Y,3/25/24,4/22/24,Y,1,9,2.74,14,7.7,4.5,,8/15/24,Y,1,10,3.65,13,7.6,4.7,,9/17/24,Y,1,9.7,5.14,14,7.9,4.4,
128,2024-0276-2,2024-0276,2,T,107 - 2,5/3/24,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,3/5/24,,N ,NA,NA,NA,NA,NA,NA,,8/15/24,N ,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
129,2024-0246-3,2024-0246,3,T,27 - 3,5/3/24,Y,Y,Y,1.59,2,11.1,11.3,4.7,14,Y,Y,Y,Y,,6/13/24,Y,Y,Y,2,13.6,2.92,17,14.5,5.2,,7/12/24,Y,Y,2/13/24,3/25/24,Y,2,13.6,2.62,16,13.5,5.9,,8/15/24,N ,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
130,2024-0238-4,2024-0238,4,T,16 - 4,5/3/24,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,2/28/24,,N ,NA,NA,NA,NA,NA,NA,,8/15/24,N ,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
